System,Title,Status,result,iStatus,Detail,Open Date,Closed Date,Status
10.23.67.85,6.2.19 Ensure no duplicate group names exist,PASSED,"""6.2.19 Ensure no duplicate group names exist"" : [PASSED] If a group is assigned a duplicate group name, it will create and have access to files with the first GID for that group in /etc/group. Effectively, the GID is shared, which is a security problem.

See Also : 

https://workbench.cisecurity.org/files/1860

Reference(s) : 

800-53|IA-4,800-171|3.5.5,800-171|3.5.6,CN-L3|7.1.2.7(b),CSF|PR.AC-1,ITSG-33|IA-4,LEVEL|1S,PCI-DSS|2.2.4 ",0,"""6.2.19 Ensure no duplicate group names exist"" : [PASSED] If a group is assigned a duplicate group name, it will create and have access to files with the first GID for that group in /etc/group. Effectively, the GID is shared, which is a security problem.

See Also : 

https://workbench.cisecurity.org/files/1860

Reference(s) : 

800-53|IA-4,800-171|3.5.5,800-171|3.5.6,CN-L3|7.1.2.7(b),CSF|PR.AC-1,ITSG-33|IA-4,LEVEL|1S,PCI-DSS|2.2.4 ",2018-07-24T13:06:28.956Z,,open
10.23.67.85,6.2.18 Ensure no duplicate user names exist,PASSED,"""6.2.18 Ensure no duplicate user names exist"" : [PASSED] If a user is assigned a duplicate user name, it will create and have access to files with the first UID for that username in /etc/passwd. For example, if 'test4' has a UID of 1000 and a subsequent 'test4' entry has a UID of 2000, logging in as 'test4' will use UID 1000. Effectively, the UID is shared, which is a security problem.

See Also : 

https://workbench.cisecurity.org/files/1860

Reference(s) : 

800-53|IA-4,800-171|3.5.5,800-171|3.5.6,CN-L3|7.1.2.7(b),CSF|PR.AC-1,ITSG-33|IA-4,CCE|CCE-80208-2,HIPAA|164.312(a)(2)(i),LEVEL|1S,PCI-DSS|2.2.4,PCI-DSS|8.1.1 ",0,"""6.2.18 Ensure no duplicate user names exist"" : [PASSED] If a user is assigned a duplicate user name, it will create and have access to files with the first UID for that username in /etc/passwd. For example, if 'test4' has a UID of 1000 and a subsequent 'test4' entry has a UID of 2000, logging in as 'test4' will use UID 1000. Effectively, the UID is shared, which is a security problem.

See Also : 

https://workbench.cisecurity.org/files/1860

Reference(s) : 

800-53|IA-4,800-171|3.5.5,800-171|3.5.6,CN-L3|7.1.2.7(b),CSF|PR.AC-1,ITSG-33|IA-4,CCE|CCE-80208-2,HIPAA|164.312(a)(2)(i),LEVEL|1S,PCI-DSS|2.2.4,PCI-DSS|8.1.1 ",2018-07-24T13:06:28.956Z,,open
10.23.67.85,6.2.17 Ensure no duplicate GIDs exist,PASSED,"""6.2.17 Ensure no duplicate GIDs exist"" : [PASSED] User groups must be assigned unique GIDs for accountability and to ensure appropriate access protections.

See Also : 

https://workbench.cisecurity.org/files/1860

Reference(s) : 

800-53|IA-4,800-171|3.5.5,800-171|3.5.6,CN-L3|7.1.2.7(b),CSF|PR.AC-1,ITSG-33|IA-4,LEVEL|1S,PCI-DSS|2.2.4 ",0,"""6.2.17 Ensure no duplicate GIDs exist"" : [PASSED] User groups must be assigned unique GIDs for accountability and to ensure appropriate access protections.

See Also : 

https://workbench.cisecurity.org/files/1860

Reference(s) : 

800-53|IA-4,800-171|3.5.5,800-171|3.5.6,CN-L3|7.1.2.7(b),CSF|PR.AC-1,ITSG-33|IA-4,LEVEL|1S,PCI-DSS|2.2.4 ",2018-07-24T13:06:28.956Z,,open
10.23.67.85,6.2.16 Ensure no duplicate UIDs exist,PASSED,"""6.2.16 Ensure no duplicate UIDs exist"" : [PASSED] Users must be assigned unique UIDs for accountability and to ensure appropriate access protections.

See Also : 

https://workbench.cisecurity.org/files/1860

Reference(s) : 

800-53|IA-4,800-171|3.5.5,800-171|3.5.6,CN-L3|7.1.2.7(b),CSF|PR.AC-1,ITSG-33|IA-4,CCE|CCE-27503-2,HIPAA|164.312(a)(2)(i),LEVEL|1S,PCI-DSS|2.2.4,PCI-DSS|8.1.1 ",0,"""6.2.16 Ensure no duplicate UIDs exist"" : [PASSED] Users must be assigned unique UIDs for accountability and to ensure appropriate access protections.

See Also : 

https://workbench.cisecurity.org/files/1860

Reference(s) : 

800-53|IA-4,800-171|3.5.5,800-171|3.5.6,CN-L3|7.1.2.7(b),CSF|PR.AC-1,ITSG-33|IA-4,CCE|CCE-27503-2,HIPAA|164.312(a)(2)(i),LEVEL|1S,PCI-DSS|2.2.4,PCI-DSS|8.1.1 ",2018-07-24T13:06:28.956Z,,open
10.23.67.85,6.2.15 Ensure all groups in /etc/passwd exist in /etc/group,PASSED,"""6.2.15 Ensure all groups in /etc/passwd exist in /etc/group"" : [PASSED] Groups defined in the /etc/passwd file but not in the /etc/group file pose a threat to system security since group permissions are not properly managed.

See Also : 

https://workbench.cisecurity.org/files/1860

Reference(s) : 

800-53|AC-2,800-171|3.1.1,CN-L3|7.1.3.2(d),CSF|DE.CM-1,CSF|DE.CM-3,CSF|PR.AC-1,CSF|PR.AC-4,ITSG-33|AC-2,LEVEL|1S,PCI-DSS|2.2.4 ",0,"""6.2.15 Ensure all groups in /etc/passwd exist in /etc/group"" : [PASSED] Groups defined in the /etc/passwd file but not in the /etc/group file pose a threat to system security since group permissions are not properly managed.

See Also : 

https://workbench.cisecurity.org/files/1860

Reference(s) : 

800-53|AC-2,800-171|3.1.1,CN-L3|7.1.3.2(d),CSF|DE.CM-1,CSF|DE.CM-3,CSF|PR.AC-1,CSF|PR.AC-4,ITSG-33|AC-2,LEVEL|1S,PCI-DSS|2.2.4 ",2018-07-24T13:06:28.956Z,,open
10.23.67.85,6.2.6 Ensure root PATH Integrity,PASSED,"""6.2.6 Ensure root PATH Integrity"" : [PASSED] Including the current working directory (.) or other writable directory in root's executable path makes it likely that an attacker can gain superuser access by forcing an administrator operating as root to execute a Trojan horse program.

$PATH is set to : /usr/local/sbin:/usr/local/bin:/sbin:/bin:/usr/sbin:/usr/bin:/root/bin

See Also : 

https://workbench.cisecurity.org/files/1860

Reference(s) : 

800-53|CM-7,800-171|3.4.7,CSF|PR.IP-1,CSF|PR.PT-3,ITSG-33|CM-7,SWIFT-CSCv1|2.3,CCE|CCE-80199-3,CSCv6|8.4,LEVEL|1S,PCI-DSS|2.2.4,PCI-DSS|8.5.8 ",0,"""6.2.6 Ensure root PATH Integrity"" : [PASSED] Including the current working directory (.) or other writable directory in root's executable path makes it likely that an attacker can gain superuser access by forcing an administrator operating as root to execute a Trojan horse program.

$PATH is set to : /usr/local/sbin:/usr/local/bin:/sbin:/bin:/usr/sbin:/usr/bin:/root/bin

See Also : 

https://workbench.cisecurity.org/files/1860

Reference(s) : 

800-53|CM-7,800-171|3.4.7,CSF|PR.IP-1,CSF|PR.PT-3,ITSG-33|CM-7,SWIFT-CSCv1|2.3,CCE|CCE-80199-3,CSCv6|8.4,LEVEL|1S,PCI-DSS|2.2.4,PCI-DSS|8.5.8 ",2018-07-24T13:06:28.956Z,,open
10.23.67.85,6.2.5 Ensure root is the only UID 0 account,PASSED,"""6.2.5 Ensure root is the only UID 0 account"" : [PASSED] This access must be limited to only the default root account and only from the system console. Administrative access must be through an unprivileged account using an approved mechanism as noted in Item 5.6 Ensure access to the su command is restricted.

See Also : 

https://workbench.cisecurity.org/files/1860

Reference(s) : 

800-53|AC-6,800-171|3.1.5,CSF|PR.AC-4,ISO/IEC-27001|A.9.2.3,ITSG-33|AC-6,SWIFT-CSCv1|1.2,CCE|CCE-27175-9,CSCv6|5.1,HIPAA|164.312(a)(2)(i),LEVEL|1S,PCI-DSS|2.2.4,PCI-DSS|8.1.1,PCI-DSS|8.5.8 ",0,"""6.2.5 Ensure root is the only UID 0 account"" : [PASSED] This access must be limited to only the default root account and only from the system console. Administrative access must be through an unprivileged account using an approved mechanism as noted in Item 5.6 Ensure access to the su command is restricted.

See Also : 

https://workbench.cisecurity.org/files/1860

Reference(s) : 

800-53|AC-6,800-171|3.1.5,CSF|PR.AC-4,ISO/IEC-27001|A.9.2.3,ITSG-33|AC-6,SWIFT-CSCv1|1.2,CCE|CCE-27175-9,CSCv6|5.1,HIPAA|164.312(a)(2)(i),LEVEL|1S,PCI-DSS|2.2.4,PCI-DSS|8.1.1,PCI-DSS|8.5.8 ",2018-07-24T13:06:28.956Z,,open
10.23.67.85,6.1.14 Audit SGID executables,WARNING,"""6.1.14 Audit SGID executables"" : [WARNING] The owner of a file can set the file's permissions to run with the owner's or group's permissions, even if the user running the program is not the owner or a member of the group. The most common reason for a SGID program is to enable users to perform functions (such as changing their password) that require root privileges.

Rationale:

There are valid reasons for SGID programs, but it is important to identify and review such programs to ensure they are legitimate. Review the files returned by the action in the audit section and check to see if system binaries have a different md5 checksum than what from the package. This is an indication that the binary may have been replaced.
NOTE: Any files noted by this check should be manually reviewed to determine if SGID is appropriate for your environment.

The following 36 files are SUID or SGID:

  /usr/sbin/netreport      owner: root, group: root, permissions: 2755

  /usr/sbin/unix_chkpwd      owner: root, group: root, permissions: 4755

  /usr/sbin/mount.nfs      owner: root, group: root, permissions: 4755

  /usr/sbin/pam_timestamp_check      owner: root, group: root, permissions: 4755

  /usr/sbin/usernetctl      owner: root, group: root, permissions: 4755

  /usr/libexec/spice-gtk-x86_64/spice-client-glib-usb-acl-helper      owner: root, group: root, permissions: 4755

  /usr/libexec/abrt-action-install-debuginfo-to-abrt-cache      owner: abrt, group: abrt, permissions: 6755

  /usr/libexec/qemu-bridge-helper      owner: root, group: root, permissions: 4755

  /usr/libexec/flatpak-bwrap      owner: root, group: root, permissions: 4755

  /usr/libexec/openssh/ssh-keysign      owner: root, group: ssh_keys, permissions: 2111

  /usr/lib64/vte-2.91/gnome-pty-helper      owner: root, group: utmp, permissions: 2711

  /usr/lib64/dbus-1/dbus-daemon-launch-helper      owner: root, group: dbus, permissions: 4750

  /usr/lib/polkit-1/polkit-agent-helper-1      owner: root, group: root, permissions: 4755

  /usr/bin/pkexec      owner: root, group: root, permissions: 4755

  /usr/bin/cgexec      owner: root, group: cgred, permissions: 2755

  /usr/bin/locate      owner: root, group: slocate, permissions: 2711

  /usr/bin/su      owner: root, group: root, permissions: 4755

  /usr/bin/staprun      owner: root, group: stapusr, permissions: 4110

  /usr/bin/newgrp      owner: root, group: root, permissions: 4755

  /usr/bin/umount      owner: root, group: root, permissions: 4755

  /usr/bin/write      owner: root, group: tty, permissions: 2755

  /usr/bin/at      owner: root, group: root, permissions: 4755

  /usr/bin/chage      owner: root, group: root, permissions: 4755

  /usr/bin/fusermount      owner: root, group: root, permissions: 4755

  /usr/bin/mount      owner: root, group: root, permissions: 4755

  /usr/bin/chfn      owner: root, group: root, permissions: 4711

  /usr/bin/crontab      owner: root, group: root, permissions: 4755

  /usr/bin/gpasswd      owner: root, group: root, permissions: 4755

  /usr/bin/ssh-agent      owner: root, group: nobody, permissions: 2111

  /usr/bin/sudo      owner: root, group: root, permissions: 4111

  /usr/bin/cgclassify      owner: root, group: cgred, permissions: 2755

  /usr/bin/screen      owner: root, group: screen, permissions: 2755

  /usr/bin/chsh      owner: root, group: root, permissions: 4711

  /opt/bmc/bladelogic/RSCD/nativetool/bin/.mcsiwrapper      owner: root, group: bin, permissions: 4555

  /opt/bmc/bladelogic/RSCD/bin/lsof      owner: root, group: root, permissions: 4555



Solution : 

Ensure that no rogue SGID programs have been introduced into the system. Review the files returned by the action in the Audit section and confirm the integrity of these binaries.

See Also : 

https://workbench.cisecurity.org/files/1860

Reference(s) : 

800-53|AC-6,CSF|PR.AC-4,CCE|CCE-80132-4,LEVEL|1NS,PCI-DSS|10.4 ",2,"""6.1.14 Audit SGID executables"" : [WARNING] The owner of a file can set the file's permissions to run with the owner's or group's permissions, even if the user running the program is not the owner or a member of the group. The most common reason for a SGID program is to enable users to perform functions (such as changing their password) that require root privileges.

Rationale:

There are valid reasons for SGID programs, but it is important to identify and review such programs to ensure they are legitimate. Review the files returned by the action in the audit section and check to see if system binaries have a different md5 checksum than what from the package. This is an indication that the binary may have been replaced.
NOTE: Any files noted by this check should be manually reviewed to determine if SGID is appropriate for your environment.

The following 36 files are SUID or SGID:

  /usr/sbin/netreport      owner: root, group: root, permissions: 2755

  /usr/sbin/unix_chkpwd      owner: root, group: root, permissions: 4755

  /usr/sbin/mount.nfs      owner: root, group: root, permissions: 4755

  /usr/sbin/pam_timestamp_check      owner: root, group: root, permissions: 4755

  /usr/sbin/usernetctl      owner: root, group: root, permissions: 4755

  /usr/libexec/spice-gtk-x86_64/spice-client-glib-usb-acl-helper      owner: root, group: root, permissions: 4755

  /usr/libexec/abrt-action-install-debuginfo-to-abrt-cache      owner: abrt, group: abrt, permissions: 6755

  /usr/libexec/qemu-bridge-helper      owner: root, group: root, permissions: 4755

  /usr/libexec/flatpak-bwrap      owner: root, group: root, permissions: 4755

  /usr/libexec/openssh/ssh-keysign      owner: root, group: ssh_keys, permissions: 2111

  /usr/lib64/vte-2.91/gnome-pty-helper      owner: root, group: utmp, permissions: 2711

  /usr/lib64/dbus-1/dbus-daemon-launch-helper      owner: root, group: dbus, permissions: 4750

  /usr/lib/polkit-1/polkit-agent-helper-1      owner: root, group: root, permissions: 4755

  /usr/bin/pkexec      owner: root, group: root, permissions: 4755

  /usr/bin/cgexec      owner: root, group: cgred, permissions: 2755

  /usr/bin/locate      owner: root, group: slocate, permissions: 2711

  /usr/bin/su      owner: root, group: root, permissions: 4755

  /usr/bin/staprun      owner: root, group: stapusr, permissions: 4110

  /usr/bin/newgrp      owner: root, group: root, permissions: 4755

  /usr/bin/umount      owner: root, group: root, permissions: 4755

  /usr/bin/write      owner: root, group: tty, permissions: 2755

  /usr/bin/at      owner: root, group: root, permissions: 4755

  /usr/bin/chage      owner: root, group: root, permissions: 4755

  /usr/bin/fusermount      owner: root, group: root, permissions: 4755

  /usr/bin/mount      owner: root, group: root, permissions: 4755

  /usr/bin/chfn      owner: root, group: root, permissions: 4711

  /usr/bin/crontab      owner: root, group: root, permissions: 4755

  /usr/bin/gpasswd      owner: root, group: root, permissions: 4755

  /usr/bin/ssh-agent      owner: root, group: nobody, permissions: 2111

  /usr/bin/sudo      owner: root, group: root, permissions: 4111

  /usr/bin/cgclassify      owner: root, group: cgred, permissions: 2755

  /usr/bin/screen      owner: root, group: screen, permissions: 2755

  /usr/bin/chsh      owner: root, group: root, permissions: 4711

  /opt/bmc/bladelogic/RSCD/nativetool/bin/.mcsiwrapper      owner: root, group: bin, permissions: 4555

  /opt/bmc/bladelogic/RSCD/bin/lsof      owner: root, group: root, permissions: 4555



Solution : 

Ensure that no rogue SGID programs have been introduced into the system. Review the files returned by the action in the Audit section and confirm the integrity of these binaries.

See Also : 

https://workbench.cisecurity.org/files/1860

Reference(s) : 

800-53|AC-6,CSF|PR.AC-4,CCE|CCE-80132-4,LEVEL|1NS,PCI-DSS|10.4 ",2018-07-24T13:06:28.956Z,,open
10.23.67.85,6.1.13 Audit SUID executables,WARNING,"""6.1.13 Audit SUID executables"" : [WARNING] The owner of a file can set the file's permissions to run with the owner's or group's permissions, even if the user running the program is not the owner or a member of the group. The most common reason for a SUID program is to enable users to perform functions (such as changing their password) that require root privileges.

Rationale:

There are valid reasons for SUID programs, but it is important to identify and review such programs to ensure they are legitimate.
NOTE: Any files noted by this check should be manually reviewed to determine if SUID is appropriate for your environment.

The following 36 files are SUID or SGID:

  /usr/sbin/netreport      owner: root, group: root, permissions: 2755

  /usr/sbin/unix_chkpwd      owner: root, group: root, permissions: 4755

  /usr/sbin/mount.nfs      owner: root, group: root, permissions: 4755

  /usr/sbin/pam_timestamp_check      owner: root, group: root, permissions: 4755

  /usr/sbin/usernetctl      owner: root, group: root, permissions: 4755

  /usr/libexec/spice-gtk-x86_64/spice-client-glib-usb-acl-helper      owner: root, group: root, permissions: 4755

  /usr/libexec/abrt-action-install-debuginfo-to-abrt-cache      owner: abrt, group: abrt, permissions: 6755

  /usr/libexec/qemu-bridge-helper      owner: root, group: root, permissions: 4755

  /usr/libexec/flatpak-bwrap      owner: root, group: root, permissions: 4755

  /usr/libexec/openssh/ssh-keysign      owner: root, group: ssh_keys, permissions: 2111

  /usr/lib64/vte-2.91/gnome-pty-helper      owner: root, group: utmp, permissions: 2711

  /usr/lib64/dbus-1/dbus-daemon-launch-helper      owner: root, group: dbus, permissions: 4750

  /usr/lib/polkit-1/polkit-agent-helper-1      owner: root, group: root, permissions: 4755

  /usr/bin/pkexec      owner: root, group: root, permissions: 4755

  /usr/bin/cgexec      owner: root, group: cgred, permissions: 2755

  /usr/bin/locate      owner: root, group: slocate, permissions: 2711

  /usr/bin/su      owner: root, group: root, permissions: 4755

  /usr/bin/staprun      owner: root, group: stapusr, permissions: 4110

  /usr/bin/newgrp      owner: root, group: root, permissions: 4755

  /usr/bin/umount      owner: root, group: root, permissions: 4755

  /usr/bin/write      owner: root, group: tty, permissions: 2755

  /usr/bin/at      owner: root, group: root, permissions: 4755

  /usr/bin/chage      owner: root, group: root, permissions: 4755

  /usr/bin/fusermount      owner: root, group: root, permissions: 4755

  /usr/bin/mount      owner: root, group: root, permissions: 4755

  /usr/bin/chfn      owner: root, group: root, permissions: 4711

  /usr/bin/crontab      owner: root, group: root, permissions: 4755

  /usr/bin/gpasswd      owner: root, group: root, permissions: 4755

  /usr/bin/ssh-agent      owner: root, group: nobody, permissions: 2111

  /usr/bin/sudo      owner: root, group: root, permissions: 4111

  /usr/bin/cgclassify      owner: root, group: cgred, permissions: 2755

  /usr/bin/screen      owner: root, group: screen, permissions: 2755

  /usr/bin/chsh      owner: root, group: root, permissions: 4711

  /opt/bmc/bladelogic/RSCD/nativetool/bin/.mcsiwrapper      owner: root, group: bin, permissions: 4555

  /opt/bmc/bladelogic/RSCD/bin/lsof      owner: root, group: root, permissions: 4555



Solution : 

Ensure that no rogue SUID programs have been introduced into the system. Review the files returned by the action in the Audit section and confirm the integrity of these binaries.

See Also : 

https://workbench.cisecurity.org/files/1860

Reference(s) : 

800-53|AC-6,CSF|PR.AC-4,CCE|CCE-80133-2,LEVEL|1NS,PCI-DSS|10.4 ",2,"""6.1.13 Audit SUID executables"" : [WARNING] The owner of a file can set the file's permissions to run with the owner's or group's permissions, even if the user running the program is not the owner or a member of the group. The most common reason for a SUID program is to enable users to perform functions (such as changing their password) that require root privileges.

Rationale:

There are valid reasons for SUID programs, but it is important to identify and review such programs to ensure they are legitimate.
NOTE: Any files noted by this check should be manually reviewed to determine if SUID is appropriate for your environment.

The following 36 files are SUID or SGID:

  /usr/sbin/netreport      owner: root, group: root, permissions: 2755

  /usr/sbin/unix_chkpwd      owner: root, group: root, permissions: 4755

  /usr/sbin/mount.nfs      owner: root, group: root, permissions: 4755

  /usr/sbin/pam_timestamp_check      owner: root, group: root, permissions: 4755

  /usr/sbin/usernetctl      owner: root, group: root, permissions: 4755

  /usr/libexec/spice-gtk-x86_64/spice-client-glib-usb-acl-helper      owner: root, group: root, permissions: 4755

  /usr/libexec/abrt-action-install-debuginfo-to-abrt-cache      owner: abrt, group: abrt, permissions: 6755

  /usr/libexec/qemu-bridge-helper      owner: root, group: root, permissions: 4755

  /usr/libexec/flatpak-bwrap      owner: root, group: root, permissions: 4755

  /usr/libexec/openssh/ssh-keysign      owner: root, group: ssh_keys, permissions: 2111

  /usr/lib64/vte-2.91/gnome-pty-helper      owner: root, group: utmp, permissions: 2711

  /usr/lib64/dbus-1/dbus-daemon-launch-helper      owner: root, group: dbus, permissions: 4750

  /usr/lib/polkit-1/polkit-agent-helper-1      owner: root, group: root, permissions: 4755

  /usr/bin/pkexec      owner: root, group: root, permissions: 4755

  /usr/bin/cgexec      owner: root, group: cgred, permissions: 2755

  /usr/bin/locate      owner: root, group: slocate, permissions: 2711

  /usr/bin/su      owner: root, group: root, permissions: 4755

  /usr/bin/staprun      owner: root, group: stapusr, permissions: 4110

  /usr/bin/newgrp      owner: root, group: root, permissions: 4755

  /usr/bin/umount      owner: root, group: root, permissions: 4755

  /usr/bin/write      owner: root, group: tty, permissions: 2755

  /usr/bin/at      owner: root, group: root, permissions: 4755

  /usr/bin/chage      owner: root, group: root, permissions: 4755

  /usr/bin/fusermount      owner: root, group: root, permissions: 4755

  /usr/bin/mount      owner: root, group: root, permissions: 4755

  /usr/bin/chfn      owner: root, group: root, permissions: 4711

  /usr/bin/crontab      owner: root, group: root, permissions: 4755

  /usr/bin/gpasswd      owner: root, group: root, permissions: 4755

  /usr/bin/ssh-agent      owner: root, group: nobody, permissions: 2111

  /usr/bin/sudo      owner: root, group: root, permissions: 4111

  /usr/bin/cgclassify      owner: root, group: cgred, permissions: 2755

  /usr/bin/screen      owner: root, group: screen, permissions: 2755

  /usr/bin/chsh      owner: root, group: root, permissions: 4711

  /opt/bmc/bladelogic/RSCD/nativetool/bin/.mcsiwrapper      owner: root, group: bin, permissions: 4555

  /opt/bmc/bladelogic/RSCD/bin/lsof      owner: root, group: root, permissions: 4555



Solution : 

Ensure that no rogue SUID programs have been introduced into the system. Review the files returned by the action in the Audit section and confirm the integrity of these binaries.

See Also : 

https://workbench.cisecurity.org/files/1860

Reference(s) : 

800-53|AC-6,CSF|PR.AC-4,CCE|CCE-80133-2,LEVEL|1NS,PCI-DSS|10.4 ",2018-07-24T13:06:28.956Z,,open
10.23.67.85,6.1.12 Ensure no ungrouped files or directories exist,PASSED,"""6.1.12 Ensure no ungrouped files or directories exist"" : [PASSED] Sometimes when administrators delete users or groups from the system they neglect to remove all files owned by those users or groups.

Rationale:

A new user who is assigned the deleted user's user ID or group ID may then end up 'owning' these files, and thus have more access on the system than was intended.

See Also : 

https://workbench.cisecurity.org/files/1860

Reference(s) : 

800-53|AC-16,CSF|PR.AC-4,ITSG-33|AC-16,CCE|CCE-80134-0,CCE|CCE-80135-7,LEVEL|1S ",0,"""6.1.12 Ensure no ungrouped files or directories exist"" : [PASSED] Sometimes when administrators delete users or groups from the system they neglect to remove all files owned by those users or groups.

Rationale:

A new user who is assigned the deleted user's user ID or group ID may then end up 'owning' these files, and thus have more access on the system than was intended.

See Also : 

https://workbench.cisecurity.org/files/1860

Reference(s) : 

800-53|AC-16,CSF|PR.AC-4,ITSG-33|AC-16,CCE|CCE-80134-0,CCE|CCE-80135-7,LEVEL|1S ",2018-07-24T13:06:28.956Z,,open
