System,Title,Status,result,iStatus,Detail,Open Date,Closed Date,Status
10.23.67.85,6.2.19 Ensure no duplicate group names exist,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,6.2.18 Ensure no duplicate user names exist,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,6.2.17 Ensure no duplicate GIDs exist,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,6.2.16 Ensure no duplicate UIDs exist,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,6.2.15 Ensure all groups in /etc/passwd exist in /etc/group,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,6.2.6 Ensure root PATH Integrity,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,6.2.5 Ensure root is the only UID 0 account,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,6.1.14 Audit SGID executables,WARNING,"ÿþ""",2,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,6.1.13 Audit SUID executables,WARNING,"ÿþ""",2,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,6.1.12 Ensure no ungrouped files or directories exist,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,6.1.11 Ensure no unowned files or directories exist,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,6.1.10 Ensure no world writable files exist,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  72 - 5.4.4 Ensure default user umask is 027 or more restrictive - /etc/profile /etc/profile.d/*.sh,WARNING,"ÿþ""",2,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  72 - 5.4.4 Ensure default user umask is 027 or more restrictive - /etc/bashrc,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  03 - 5.4.1.2 Ensure minimum days between password changes is 1 or more,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  02 - 5.4.1.1 Ensure password expiration is 45 days or less,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 104 - 5.1.5 Ensure permissions on /etc/cron.weekly are configured,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 103 - 5.1.4 Ensure permissions on /etc/cron.daily are configured,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 102 - 5.1.3 Ensure permissions on /etc/cron.hourly are configured,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 101 - 5.1.7 Ensure permissions on /etc/cron.d are configured,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 100 Set User/Group Owner and Permission on /etc/anacrontab,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 99 - 5.1.1 Ensure cron daemon is enabled,WARNING,"ÿþ""",2,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 98 Enable anacron Daemon,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 97 - 4.1.16 Ensure system administrator actions (sudolog) are collected,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 96 - 4.1.15 Ensure changes to system administration scope (sudoers) is collected,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 95.2 - 4.1.11 Ensure unsuccessful unauthorized file access attempts are collected - b32 EACCES,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 95.1 - 4.1.11 Ensure unsuccessful unauthorized file access attempts are collected - b32 EPERM,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 94.3 - 4.1.10 Ensure discretionary access control permission modification events are collected - b32 chown,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 94.2 - 4.1.10 Ensure discretionary access control permission modification events are collected - b32 setxattr,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 94.1 - 4.1.10 Ensure discretionary access control permission modification events are collected - b32 chmod,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
